Abditibacteriia #00F5FF
Actinomycetes #71C671
Alphaproteobacteria #DC143C
Armatimonadia #607B8B
Bacilli #7CFC00
Bacteroidia #0000FF
Bdellovibrionia #E066FF
Betaproteobacteria #CD0000
Chitinophagia #1C86EE
Clostridia #458B00
Cyanophyceae #EEDC82
Cytophagia #63B8FF
Desulfarculia #BF3EFF
Desulfobacteria #B23AEE
Desulfobulbia #9A32CD
Desulfovibrionia #4B0082
Desulfuromonadia #9F79EE
Epsilonproteobacteria #FF82AB
Fibrobacteria #CAFF70
Fimbriimonadia #8B864E
Flavobacteriia #4876FF
Fusobacteriia #CDC5BF
Gammaproteobacteria #FF0000
Gemmatimonadia #CD853F
Holophagae #FFEC8B
Longimicrobiia #8B5A2B
Myxococcia #DAA520
Negativicutes #6B8E23
Oligoflexia #7A67EE
Opitutia #FFD700
Polyangia #CD6600
Rhodothermia #CD5555
Saprospiria #6495ED
Sphingobacteriia #87CEFA
Spirochaetia #388E8E
Syntrophia #9400D3
Terriglobia #8B4513
Thermoleophilia #90EE90
Verrucomicrobiia #FFFF00
 
