Alphaproteobacteria #DC143C
Bacilli #7CFC00
Bacillota_sensu_stricto_incertae_sedis #008B00
Bacteriovoracia #E066FF
Bacteroidia #0000FF
Balneolia #00E5EE
Bdellovibrionia #E066FF
Betaproteobacteria #CD0000
Chitinophagia #1C86EE
Clostridia #458B00
Cytophagia #63B8FF
Deltaproteobacteria #B452CD
Desulfovibrionia #4B0082
Flavobacteriia #4876FF
Gammaproteobacteria #FF0000
Gemmatimonadia #CD853F
Holophagae #FFEC8B
Myxococcia #DAA520
Oligoflexia #7A67EE
Opitutia #FFD700
Phycisphaerae #FFFF00
Polyangia #CD6600
Rhodothermia #CD5555
Saprospiria #6495ED
Sphingobacteriia #87CEFA
Spirochaetia #388E8E
